Question,Answer
Is it true that adams had spent some time as the ambassador?,yes
Is it true that massachusetts sent him in 1774?,yes
Who did Massachusetts send in 1774?,John Adams
"Are his last words often quoted as "" Thomas Jefferson survives "" . ?",yes
"The John Adams Library , housed at the Boston Public Library , contains what?","Adams's personal collection of more than 3,500 volumes"
Adams ' opponents were what?,Democratic Republicans
"Did the election of 1800 not become a bitter and volatile battle , with each side expressing extraordinary fear of the other party and its policies ?",No.
What happened in 1764?,Adams married Abigail Smith
Is a kangaroo a reptile?,no
Is a kangaroo a reptile?,No
Is a kangaroo on the Australian coat of arms?,yes
Is a kangaroo on the Australian coat of arms?,Yes
"Was James Cook the first to record the name ""Kangooroo?""",yes
"Was James Cook the first to record the name ""Kangooroo?""",Yes
What is a collective noun for kangaroos?,"mob, troop, or court"
What is a collective noun for kangaroos?,"Mob, troop, or court"
Where do joeys complete postnatal development?,marsupium
Where do joeys complete postnatal development?,A pouch called a marsupium
"What do kangaroos use for ""crawl-walking?""",its hind feet
"What do kangaroos use for ""crawl-walking?""",Their hind feet and their tails
Why do kangaroos have a wide bite?,The two sides of the lower jaw are not joined together and the lower incisors are farther apart.
Why do kangaroos have a wide bite?,Because of grazing
What is responsible for converting the hydrogen byproduct of fermentation into acetate?,bacteria
What is responsible for converting the hydrogen byproduct of fermentation into acetate?,The digestive system of a kangaroo
Are wild kangaroos shot for meat?,yes
Are wild kangaroos shot for meat?,Yes
Have kangaroos fared well since European settlement?,yes
Have kangaroos fared well since European settlement?,Yes
Do kangaroos have many natural predators?,no
Do kangaroos have many natural predators?,No
What is the average life expectancy of a kangaroo?,4.6 years
What is the average life expectancy of a kangaroo?,about 4.6 years
When did the first official report of kangaroo blindness take place?,1994
When did the first official report of kangaroo blindness take place?,1994
What are vehicles that frequent isolated roads often fitted with?,roo bars
What are vehicles that frequent isolated roads often fitted with?,roo bars
Do kangaroos eat plants?,yes
Do kangaroos eat plants?,Yes
What are some extinct predators of the kangaroo?,"Thylacine, Marsupial Lion, Maagalania, and Wonambi"
What are some extinct predators of the kangaroo?,The Thylacine
Is a Kangaroo a Marsupial?,Yes
Is the kangaroo an herbivour?,Yes
Are Kangaroos Shy?,Yes
What method of locomotion do Kangaroos Use?,hopping
What is the average life expectancy of a kangaroo?,4 to 6 years
What is a collective noun for a kangaroo?,"a mob, troop, or court"
What is a roo?,a kangaroo
What is used to protect a vehicale from a Kangaroo?,roo bars
What method is used by Kangaroos to travel?,hopping
Who asked a nearby local what the creatures were called?,Captain James Cook and naturalist Sir Joseph Banks
What are four species that are commonly referred to as kangaroos?,"The Red Kangaroo, The Eastern Grey Kangaroo, The Western Grey Kangaroo, and The Antilopine Kangaroo"
Are kangaroos and wallabies adept swimmers?,yes
Are kangaroos farmed to any extent?,No.
Who also discovered that less than three percent of kangaroos exposed to the virus developed blindness ?,Veterinarians
Different species of kangaroos eat what?,different diets
Have Kangaroos dazzled by headlights or startled by engine noise been known to leap in front of cars ?,yes
Is a collision with a vehicle capable of killing a kangaroo ?,yes
Was the game of Marn grook played using a ball made from kangaroo by the Kurnai people ?,yes
"Have kangaroos large , powerful hind legs , large feet adapted for leaping , a long muscular tail for balance , and a small head ?",yes
"Is a kangaroo a marsupial from the family macropodidae -LRB- macropods , meaning (`` ` large foot ('' ' -RRB-?",yes
What kinds of changes have larger kangaroos adapted much better to?,Changes wrought to the Australian landscape by humans.
Have larger kangaroos adapted much better to changes?,yes
Is the leopard smaller than the other members of Panthera?,yes
Is the leopard smaller than the other members of Panthera?,Yes
Is a leopard larger and less lanky than a cheetah?,yes
Is a leopard larger and less lanky than a cheetah?,Yes
Are large pythons potential prey for leopards?,yes
Are large pythons potential prey for leopards?,Yes
What may a leopard be mistaken for?,A cheetah or a jaguar
What may a leopard be mistaken for?,A cheetah or a jaguar
What is a hybrid animal resulting from a union between a leopard and a puma?,a pumapard
What is a hybrid animal resulting from a union between a leopard and a puma?,A pumapard
Where do leopards often hide their kills?,in dense vegetation
Where do leopards often hide their kills?,in dense vegetation or in trees
How did early naturalists distinguish between leopards and panthers?,by the length of their tails
How did early naturalists distinguish between leopards and panthers?,"By the length of the tail, panthers having longer tails than leopards"
What are dark leopards known as colloquially?,Black Panthers
What are dark leopards known as colloquially?,black panthers
What shape are a leopard's black rosettes in East Africa?,circular
What shape are a leopard's black rosettes in East Africa?,circular
Is the leopard an Old World mammal?,yes
Is the leopard an Old World mammal?,yes
Is the leopard an Old World mammal?,.
Is the leopard of the Felidae family?,yes
Is the leopard of the Felidae family?,yes
Is the leopard one of the four 'big cats'?,yes
Is the leopard one of the four 'big cats'?,yes
Where is the leopard distributed?,southern Eurasia and Africa
Where is the leopard distributed?,"southern Eurasia and Africa, from Korea to South Africa and Spain"
How long is a leopard's tail?,60 to 110cm
How long is a leopard's tail?,60-110cm
How much does a leopard weigh?,Males are considerably larger than females and weigh 37 to 90 kg compared to 28 to 60 kg for females. 
How much does a leopard weigh?,(because of ambiguity) - 28-90kg 
Does a male leopard weigh more than a female leopard?,yes
Does a male leopard weigh more than a female leopard?,yes
What is the difference between leopards and cheetahs?,The leopard has rosettes rather than cheetah's simple spots and the leopard is larger and less lanky than the cheetah.
What is the difference between leopards and cheetahs?,"The leopard has rosettes rather than cheetah's simple spots, but they lack internal spots, unlike the jaguar. The leopard is larger and less lanky than the cheetah but smaller than the jaguar."
How does the distribution size of the leopard compare to the distribution of other wild cats?,"As of 1996, the leopard had the largest distribution of any wild cat, although populations before and since have shown a declining trend and are fragmented outside of subsaharan Africa."
How does the distribution size of the leopard compare to the distribution of other wild cats?,the leopard had the largest distribution of any wild cat.
What resembles that of the similarly-sized cougar in the Americas?,The leopard's ecological role
"What was one of the many species described in Linnaeus's 18th-century work, Systema Naturae?",Felis pardus
What sort of cats are solitary?,Leopards
Are leopards circular?,No
Is the leopard solitary?,Yes
What centred in Sierra?,The leopard men
Felis pardus was what?,"One of the many species described in Linnaeus's 18th-century work, Systema Naturae"
Has the New Zealand Rugby League featured the Otahuhu Leopards and then the Tamaki Leopards ?,Yes
Were the Leopard men a West African secret society who practised cannibalism ?,Yes
Was the leopard tank a German designed tank which entered service in 1965 ?,Yes
Is the black color heritable and caused by only one recessive gene locus ?,Yes
"Is the leopard -LRB- panthera pardus -RRB- an old world mammal of the felidae family and the smallest of the four (`` ` big cats ('' ' of the genus panthera , along with the tiger , lion , and jaguar?",Yes
Can a panther be any of several species of large felid?,Yes
Is the leopard an agile and graceful predator?,Yes
Is Liechtenstein bordered by Switzerland?,Yes
Is Liechtenstein bordered by Switzerland?,Yes
Is Liechtenstein the smallest German-speaking country in the world?,Yes
Is Liechtenstein the smallest German-speaking country in the world?,Yes
Was Liechtenstein part of the ancient Roman province of Raetia?,Yes
Was Liechtenstein part of the ancient Roman province of Raetia?,Yes
When was the first factory opened?,1836
When was the first factory opened?,1836
How many municipalities is Liechtenstein divided into?,11
How many municipalities is Liechtenstein divided into?,11
What is the national currency of Liechtenstein?,Swiss franc
What is the national currency of Liechtenstein?,Swiss franc
Has Leichtenstein worked to promote the county's image by prosecuting international money-laundering?,Yes
What company administers Leichtenstein's railways?,Austrian Federal Railways
What company administers Leichtenstein's railways?,Austrian Federal Railways
What percentage of Liechtenstein's population is foreign-born?,two-thirds
What percentage of Liechtenstein's population is foreign-born?,67%
Is there an airport in Liechtenstein?,No.
Is there an airport in Liechtenstein?,No
Is Liechtenstein heavily urbanized?,No.
Is Liechtenstein heavily urbanized?,No
Is Liechtenstein doubly landlocked?,Yes.
Is Liechtenstein doubly landlocked?,Yes
Does Liechtenstein have an army?,No.
Does Liechtenstein have an army?,No
When was Liechtenstein's current constitution adopted?,October 1921.
When was Liechtenstein's current constitution adopted?,October 1921
What is the official language of Liechtenstein?,German.
What is the official language of Liechtenstein?,German
What countries border Liechtenstein?,Switzerland and Austria.
What countries border Liechtenstein?,Switzerland and Austria
What Roman province was Liechtenstein part of?,Raetia.
What Roman province was Liechtenstein part of?,Raetia
How many municipalities are within Oberland?,6.
How many municipalities are within Oberland?,6
What is the smallest German-speaking country in the world?,Liechtenstein
"The Savings and Loans Bank was founded, as was the first cotton-weaving mill in what year?",1861
What enjoys one of the world's highest standards of living?,Liechtenstein's population
Does the state court rule on the conformity of laws?,Yes
What do most recognizable international company and largest employer have in common?,They are Hilti.
Is Liechtenstein heavily urbanized?,No
Was Liechtenstein completed in November 2000?,No
What completed in November?,the Kunstmuseum Liechtenstein
The State Court rules what?,on the conformity of laws with the constitution
The Historical Society of the Principality of Liechtenstein plays what?,a role in preserving the culture and history of the country.
Is the museum collection also the national art collection of Liechtenstein ?,Yes
Is there a small heliport at Balzers in Liechtenstein available for charter helicopter flights ?,Yes
Are nationals referred to by the plural : Liechtensteiners ?,Yes
"Is it a winter sports resort , although it is perhaps best known as a tax haven ?",Yes
Is it a winter sports resort?,Yes
Is it the smallest german-speaking country in the world?,Yes
"What happened in moravia , lower austria , silesia , and styria , though in all cases , these territories were held in fief under other more senior feudal lords?",The Liechtenstein Dynasty acquired vast swaths of land
"Did Webster write, ""I can now sleep of nights""?",Yes.
"Did Webster write, ""I can now sleep of nights""?",Yes
Was the arrival of Louis Kossuth (exiled leader of a failed Hungarian revolution) another issue that presented itself during Fillmore's presidency?,Yes
Was the arrival of Louis Kossuth (exiled leader of a failed Hungarian revolution) another issue that presented itself during Fillmore's presidency?,Yes
"Did he die at 11:10 p.m. on March 8, 1874, of the after-effects of a stroke?",Yes
"Did he die at 11:10 p.m. on March 8, 1874, of the after-effects of a stroke?",yes
Who got Seward elected to the senate?,Weed
Who got Seward elected to the senate?,Weed ultimately got Seward elected to the senate
Where was Commodore Matthew C. Perry sent to open Japan to Western trade?,Japan
Where was Commodore Matthew C. Perry sent to open Japan to Western trade?,Commodore Matthew C. Perry send to Japan
What is The Remarkable Millard Fillmore?,A fake biography based on real events that happened in Fillmore's life.
What is The Remarkable Millard Fillmore?,"In 2007, George Pendle wrote The Remarkable Millard Fillmore, a fake biography based on real events that happened in Fillmore's life"
Did Fillmore form a law partnership before or after he founded the private University of Buffalo?,Before.
Did Fillmore form a law partnership before or after he founded the private University of Buffalo?,Law partnership founded before University of Buffalo
Did Fillmore run for President a second time?,Yes
Did Fillmore run for President a second time?,I don't know (semantic ambiguity)
How long after the death of his first wife did Fillmore marry Caroline McIntosh?,where is the death date of his first wife?
Was Millard Fillmore the thirteenth President of the United States?,yes
Was Millard Fillmore the thirteenth President of the United States?,yes
"Was Millard Fillmore born on January 7, 1800?",yes
"Was Millard Fillmore born on January 7, 1800?",yes
"Did Millard Fillmore die on March 8, 1974?",no
"Did Millard Fillmore die on March 8, 1974?",no
Where was Millard Fillmore born?,"in a log cabin in Summerhill, New York"
Where was Millard Fillmore born?,"in a log cabin in Summerhill, New York"
To whom was Millard Fillmore born to?,to Nathaniel and Phoebe Millard Fillmore
To whom was Millard Fillmore born to?,to Nathaniel and Phoebe Millard Fillmore
Who did Millard Fillmore fall in love with?,He fell in love with Abigail Powers
Who did Millard Fillmore fall in love with?,Abigail Powers
What did Taylor and Fillmore disagree upon?,slavory issues
What did Taylor and Fillmore disagree upon?,Taylor and Fillmore disagreed on the slavery issue in the new western territories taken from Mexico in the Mexican-American War
How did Fillmore ascend to the presidency?,"upon the death of the sitting president, Taylor"
How did Fillmore ascend to the presidency?,Official White House portrait of Millard FillmoreFillmore ascended to the presidency upon the sudden and unexpected death of President Taylor in July 1850.
How did the supporters of Henry Clay feel about Fillmore in 1848?,they were ok with him
How did the supporters of Henry Clay feel about Fillmore in 1848?,angry
Who was first apprenticed to a fuller to learn the cloth-making trade?,millard fillmore
He founded the private university of buffalo on what date?,1846
Who or what fell in love with abigail powers?,millard fillmore
Was Fillmore one of the founders of the University of Buffalo?,yes
Was Another primary objective of Fillmore to preserve the Union from the intensifying slavery debate?,yes
"Was Fillmore the second Chancellor, a position he maintained while both Vice President and President?",no
Is Fillmore the first of two presidents to have been an indentured servant ?,yes
Is the comic strip Mallard Fillmore named after the president ?,yes
Was Fillmore the first U.S. President born after the death of a former president ?,yes
"Did Fillmore not turn down the honor , explaining that he had neither the `` literary nor scientific attainment '' to justify the degree ?",no
"What happened in a log cabin in summerhill , new york?",Fillmore was born
"Who was born precisely at midnight during an electrical storm , to a Serbian family in the village of Smiljan near GospiÄ , in the Lika region of the Croatian Krajina in Military Frontier ( part of the Austrian Empire ) , in the present-day Croatia . ?",Nikola Tesla
Are there at least two films describing Tesla 's life ?,Yes.
Have a number of live theatrical plays based on Tesla 's life been produced and staged worldwide ?,yes.
Do sea otters have long muscular tails?,no
Do sea otters have long muscular tails?,No
Can otters survive in cold water?,yes
Can otters survive in cold water?,Yes
Does the giant otter inhabit South Africa?,no
Does the giant otter inhabit South Africa?,No
How many species of otter are there?,13
How many species of otter are there?,13
What do river otters eat?,"a variety of fish and shellfish, as well as small land mammals and birds"
What do river otters eat?,"a variety of fish and shellfish, as well as small land mammals and birds"
How much do sea otters weigh?,30 kg (about 65 pounds)
How much do sea otters weigh?,30 kg (about 65 pounds)
How do sea otters insulate themselves?,a layer of air trapped in their fur(!)
How do sea otters insulate themselves?,"As with other species of otter, they rely on a layer of air trapped in their fur, which they keep topped up by blowing into the fur from their mouths."
Why are sea otters nearly extinct?,They've been hunted for their fur
Why are sea otters nearly extinct?,"Sea otters have some 200,000 hairs per square cm of skin, a rich fur for which humans hunted them"
What is one of the challenges of re-establishing a population of Eurasian otters in the UK?,roadkill deaths
What is one of the challenges of re-establishing a population of Eurasian otters in the UK?,Roadkill deaths have become one of the significant threats to the success of their re-establishment. 
Is otter a kind of mammal?,yes
Is otter a kind of mammal?,Yes.
How many species and genera does otter have?,13 species and 7 genera
How many species and genera does otter have?,13 species in 7 genera.
Do otters live in water?,yes
Do otters live in water?,Yes.
What do river otters eat?,"River otters eat a variety of fish and shellfish, as well as small land mammals and birds. "
What do river otters eat?,"River otters eat a variety of fish and shellfish, as well as small land mammals and birds."
Where do sea otters live?,Sea otters (Enhydra lutris) live along the Pacific coast of North America. 
Where do sea otters live?,The sea otter lives actually in the sea. 
"Where does the word ""otter"" derive from?","The word ""otter"" derives from the Old English word otr, otor or oter. "
"Where does the word ""otter"" derive from?","The word ""otter"" derives from the Old English word otr, otor or oter. This and cognate words in other Indo-European languages ultimately stem from a root which also gave rise to the English words ""water"", ""wet"" and ""winter"". "
Does otter give birth or lay egg?,give birth
What drives sea otter almost to extinction?,Humans hunted them almost to extinction. 
What drives sea otter almost to extinction?,"Sea otters have some 200,000 hairs per square cm of skin, a rich fur for which humans hunted them almost to extinction. "
Why otters are considered as totem animals?,"The time of year associated with this is also associated with the Aquarius sign of the Zodiac, through which the sun passes January 20-February 19. "
Do sea otters live along the Pacific coast?,Yes
Do sea otters live along the Pacific coast?,Yes
Are otters totem animals?,Yes
Are otters herbivores?,No
Are otters herbivores?,No
What is the primary item in an otter's diet?,Fish.
What is the primary item in an otter's diet?,fish
What is an otter's den called?,Holt
What is an otter's den called?,holt
Why is the giant otter becoming increasingly rare?,"Poaching, habitat loss, and toxins in gold mining.  "
Why is the giant otter becoming increasingly rare?,"poaching, habitat loss, and the use of mercury in illegal alluvial gold mining"
How do otters keep themselves warm without blubber?,A layer of air trapped in their fur.  
How do otters keep themselves warm without blubber?,a layer of air trapped in their fur
How are otters playful animals?,"The slide down snowy slopes, apparently for sheer enjoyment.  "
How are otters playful animals?,They slide repeatedly down snowy slopes for sheer enjoyment.
What animals are related to otters?,"weasels, polecats, and badgers"
"What traps a layer of air, and keeps them dry and warm under water?",Long guard hair
The collective noun romp is sometimes used for a group of what?,Otters
Is it true that otters eat a variety of fish?,yes
Are otters playful animals?,yes
Are otters very active?,yes
Are male otters dog-otters?,yes
An otter 's den is what?,A holt
Sea otters eat what?,Shellfish and other invertebrates
Is the myth of Otter 's Ransom the starting point of the Volsunga saga ?,yes
"Are Male otters dog-otters , females are bitches and babies are cubs or pups ?",yes
Is an otter 's den called a holt ?,yes
"Have most otters fish as the primary item in their diet , supplemented by frogs , crayfish and crabs ?",yes
Do penguins feed on krill?,yes
Do penguins feed on krill?,yes
What is the largest living species of penguin?,Emperor Penguin
What is the largest living species of penguin?,the Emperor Penguin (Aptenodytes forsteri)
Do penguins live almost exclusively in the Southern Hemisphere?,yes
Do penguins live almost exclusively in the Southern Hemisphere?,yes
"What is ""tobogganing""?",when penguins slide on their bellies across the snow
"What is ""tobogganing""?",Tobogganing is when penguins slide on their bellies across the snow.
Why are penguins countershaded?,for camouflage
Why are penguins countershaded?,for camouflage
Are penguins afraid of humans?,no
Are penguins afraid of humans?,no
How much time to penguins spend on land?,half of their life
How much time to penguins spend on land?,They spend half of their life on land.
How many species of penguins are there?,between 17 and 20 living species
How many species of penguins are there?,"Penguin biodiversity varies between 17 and 20 living species, all in the subfamily Spheniscinae."
How are Isabelline penguins different from most penguins?,they have brown rather than black plumage
How are Isabelline penguins different from most penguins?,Because they are born with brown rather than black plumage.
Are penguins birds?,yes
Are penguins birds?,Yes
Do penguins have a better than average sense of hearing for birds?,yes
Do penguins have a better than average sense of hearing for birds?,No
"Are penguins considered ""higher waterbirds""?",yes
"Are penguins considered ""higher waterbirds""?",Yes
What order do penguins belong to?,Sphenisciformes
What order do penguins belong to?,Sphenisciformes
What is the largest living species of penguin?,Emperor Penguin
What is the largest living species of penguin?,Emperor
How tall were the tallest prehistoric penguins?,1.80 meters
How tall were the tallest prehistoric penguins?,as tall as an adult human
What makes penguins so agile in the water?,Their wings have become flippers
What makes penguins so agile in the water?,"Smooth plumage preserves a layer of air, ensuring buoyancy, wings are flippers"
"Why do penguins ""tobaggan""?",It conserves energy while moving quickly
"Why do penguins ""tobaggan""?",Conserves energy while moving quickly
Who spend half of their life on land and half in the oceans?,Penguins
What is also the distance that Antarctic tourists are told to keep from penguins?,3 meters
"What have become flippers, useless for flight in the air?",Penguins' wings
What happens when mothers lose a chick?,"They sometimes attempt to ""steal"" another chick."
Is it true that each penguin gets a turn in the center?,Yes
Are all penguins countershaded?,Yes
Are penguins astonishingly agile?,In the water they are.
Are penguins at risk?,Yes
"Is it also possible that penguin comes from the Latin pinguis , fat ?",Yes
Have penguins an average sense of hearing for birds ?,Yes
Can larger penguins dive deep in case of need ?,Yes
"Is the smallest penguin species the Little Blue Penguin -LRB- also known as the Fairy Penguin -RRB- , which stands around 40 cm tall -LRB- 16 in -RRB- and weighs 1 kg -LRB- 2.2 lb -RRB- ?",Yes
"Is it not even known whether the gigantic palaeeudyptines constitute a monophyletic lineage , or whether gigantism was evolved independently in a much restricted Palaeeudyptinae and the Anthropornithinae ?",It is not even known.
Is the largest living species the emperor penguin -LRB- aptenodytes forsteri -RRB-?,Yes
"Is the smallest penguin species the little blue penguin -LRB- also known as the fairy penguin -RRB- , which stands around 40 cm tall -LRB- 16 in -RRB- and weighs 1 kg -LRB- 2?",Yes
What happened in a region not quite 2000 km south of the equator 35 mya?,At least one giant penguin.
What is the last word on the page?,Connecticut
What is the last word on the page?,(SSN-22)
Is polar bear a mammal?,Yes
Is polar bear a mammal?,Yes
Is polar bear a carnivore?,Yes
Is polar bear a carnivore?,Yes
What is largest polar bear on record?,2200 lb
What is largest polar bear on record?,"A huge male, allegedly weighing 1002 kg (2200 lb) shot at Kotzebue Sound in northwestern Alaska in 1960."
What is polar bear's skin color?,white or cream
What is polar bear's skin color?,Black
How long is polar bear's guard hair?,5-15 cm
How long is polar bear's guard hair?,5-15 cm
What is cause of polar bear's skin diseases?,mites or other parasites
What is cause of polar bear's skin diseases?,Mites or other parasites
Why polar bear is a special species?,"The World Conservation Union listed polar bears as a vulnerable species, one of three sub-categories of threatened status, in May 2006. Their latest estimate is that 7 out of 19 subpopulations are declining or already severely reduced."
What do fossil and DNA evidence tell us?,The polar bear diverged from the brown bear about 200 thousand years ago.
What do fossil and DNA evidence tell us?,The polar bear diverged from the brown bear roughly 200 thousand years ago.
Does a polar bear live in the Arctic?,yes
Does a polar bear live in the Arctic?,Yes
Is a polar bear white in color?,yes
Is a polar bear white in color?,Yes
Is a polar bear at high risk of extinction?,yes
Is a polar bear at high risk of extinction?,Yes
How heavy is a male polar bear?,300-600 kg (660-1320 lb)
How heavy is a male polar bear?,Most adult males weigh 350-650 kg
How heavy was the largest polar bear on record?,1002 kg (2200 lb) 
How heavy was the largest polar bear on record?,He allegedly weighed 1002 kg
What does a polar bear's fur provide?,It provides the animal with effective camouflage.
What does a polar bear's fur provide?,A polar bear's fur provides camouflage and insulation
Do female polar bears weight more than the male?,no
Do female polar bears weight more than the male?,No
How much weight do female polar bears gain during pregnancy?,They gain double their weight.
How much weight do female polar bears gain during pregnancy?,They double their weight during pregnancy
Can polar bears be seen under infrared photography?,Polar bears are nearly invisible under infrared photography.
Can polar bears be seen under infrared photography?,Only their breath and muzzles can be easily seen
What is actually black in color?,A polar bear's skin.
What insulate it against the cold?,Its think blubber and fur.
What includes a lengthy justification of why this species is listed as vulnerable?,Database entry.
What do with greenpeace and the natural resources defense council have in common?,They filed lawsuits in California.
Are studies insufficient evidence for global protection?,It is arguable.
Are polar bears excellent swimmers?,yes
"A semi-aquatic marine mammal , the polar bear has what?","It has adapted for life on a combination of land, sea, and ice."
Garbage is what?,"Garbage is now recycled or transported to Thompson, Manitoba."
The bears sometimes what?,They sometimes have problems with various skin diseases with dermatitis caused sometimes by mites or other parasites.
Is the Polar Bear the mascot of Bowdoin college ?,yes
Have thumbpolar bears been made both controversial and famous for their distinctive white fur and their habitat ?,yes
"Did Mitchell Taylor , the Nunavut Government Manager of Wildlife Research , not write a letter to the U.S. Fish and Wildlife Service arguing that local studies are insufficient evidence for global protection at this time ?",no
Are Cubs born in December without awakening the mother ?,yes
Does Qatar rank as the eighth richest country in the world per capita?,No.
Does Qatar rank as the eighth richest country in the world per capita?,no
Do nearly all Qataris profess Islam?,Yes.
Do nearly all Qataris profess Islam?,yes
Can women legally drive in Qatar?,Yes.
Can women legally drive in Qatar?,yes
When did Qatar become an independent state?,"September 3, 1971."
When did Qatar become an independent state?,"September 3, 1971"
Where is Qatar's telecommunication system centered?,Doha.
Where is Qatar's telecommunication system centered?,Doha
Where did a suicide-bombing kill a teacher in 2005?,At the Doha Players Theatre.
Where did a suicide-bombing kill a teacher in 2005?,Doha Players Theatre
Does the native pronunciation of Qatar sound like 'cutter'?,Yes.
Does the native pronunciation of Qatar sound like 'cutter'?,no
What is the Arabic word for municipalities?,baladiyah.
What is the Arabic word for municipalities?,baladiyah
What universities are in Education City?,"Carnegie Mellon University, Georgetown University School of Foreign Service, Texas A&M University, Virginia Commonwealth University, and Cornell University's Weill Medical College."
What universities are in Education City?,"Carnegie Mellon University, Georgetown University School of Foreign Service, Texas A&M University, Virginia Commonwealth University, and Cornell University"
What carried with it a tacit recognition of Qatar's status as distinct from Bahrain?,The British Protectorate (per Colonel Lewis Pelly) asking to negotiate with a representative from Qatar after Bahrain's violation of the 1820 Anglo-Bahraini Treaty.
Qatar became an independent sovereign state in what year?,"On September 3, 1971."
"What consists of a low, barren plain, covered with sand?",Much of the country.
How do qatar and the wider region relate?,Qatar is aiming to become a role model for economic and social transformation in the region. Large scale investment in all social and economic sectors will also lead to the development of a strong financial market.
Was Qatar University founded in 1973?,Yes
Is Qatar bordered by Saudi Arabia to the south?,Yes
What bordered by Saudi?,Qatar
Who served as the headquarters and one of the main launching sites of the US invasion of Iraq in 2003 ?,Qatar.
Has Qatar a modern Telecommunication system centered in Doha ?,Yes
Was Qatar University founded in 1973 ?,Yes
"Did the Qataris not choose as their negotiator the respected entrepreneur and long-time resident of Doha , Muhammed bin Thani ?",Yes
Will oil and gas probably remain the backbone of Qatar 's economy for some time to come ?,Yes
"Has it been created with a long term perspective to support the development of Qatar and the wider region , develop local and regional markets , and strengthen the links between the energy based economies and global financial markets ?",Yes
What happened in these positions in english?,These allophones cannot occur there.
Can these allophones not occur in these positions in english?,yes
"Is -RRB- , officially the state of qatar -LRB- arabic (: : transliterated as dawlat qatar -RRB- , an arab emirate in southwest asia?",Yes
Does Romania border Hungary?,Yes.
Does Romania border Hungary?,yes
Is Romania a secular state?,Yes.
Is Romania a secular state?,yes
Is the president elected by popular vote?,Yes.
Is the president elected by popular vote?,yes
How many counties is Romania divided into?,41.
How many counties is Romania divided into?,forty-one
What is the highest mountain in Romania?,Moldoveanu Peak.
What is the highest mountain in Romania?,Moldoveanu Peak
What is the official language of Romania?,Romanian.
What is the official language of Romania?,Romanian
Is the Romanian economy doing well?,Yes.
Are there many Roma in Romania?,No.
Are there many Roma in Romania?,no
How many territories joined to form Romania?,2.
How many territories joined to form Romania?,2
Does Romania share a border with Ukraine?,yes
Does Romania share a border with Ukraine?,Yes
Did Romania declare neutrality during World War I?,yes
Did Romania declare neutrality during World War I?,Yes
Does Romania share the same language with Moldova?,yes
Does Romania share the same language with Moldova?,Practically
"Who was the first gymnast to score a perfect ""ten""?",Nadia ComÄneci
"Who was the first gymnast to score a perfect ""ten""?",Nadia ComÄneci
What is the largest city in Romania?,Bucharest
What is the largest city in Romania?,Bucharest
What is the largest ethnic minority in Romania?,Hungarians
What is the largest ethnic minority in Romania?,Hungarians
How many countries in Europe are bigger than Romania?  ,eleven
How many countries in Europe are bigger than Romania?  ,Eleven
Why doesn't Romania have a state religion?  ,Romania is a secular state
Why wasn't Romania neutral during World War II?,it received a Soviet ultimatum
Why wasn't Romania neutral during World War II?,The Soviets threatened invasion.
"Sibiu, a large city in Transylvania, was chosen as European Capital of Culture in what year?",2007
"What are approximately 42,000 years old and have been nicknamed`` John of Anina''?",the remains (the lower jaw) of the oldest modern human
"Is it true that romania has a population of 21,698,181?",Yes
What do economy and law have in common?,(not sure how to answer this)
What did Tourism in Romania attract in 2005?,investments worth 400 million euros
Is Romania a secular state?,Yes
Is Romania a semi-presidential unitary state?,Yes
Is Romania a semi-presidential democratic republic where executive functions are shared between the president and the prime minister ?,Yes
Was Gellu Naum the leader of the surrealist movement in Romania ?,Yes
Was the Bucharest Metro only opened in 1979 ?,Yes
"Is romania -LRB- , -RRB- a country in southeastern europe?",Yes
Is romania a semi-presidential unitary state?,Yes
Do singaporeans enjoy squid?,"Yes, they do."
Do singaporeans enjoy squid?,yes
Did Singapore's standard of living decrease since independence?,"No, the standard living was raised."
Did Singapore's standard of living decrease since independence?,no
Did the media contribute 15.6% to Singapore's GDP in 2001?,"No, it contributed 1.56% to GDP in 2001."
Did the media contribute 15.6% to Singapore's GDP in 2001?,no
How many people use the bus network daily?,More than 2.78 million people.
How many people use the bus network daily?,2.78 million people
Where did Orang Laut people live?,"Orang Laut people lived around the coast, rivers and smaller islands."
Where did Orang Laut people live?,"Several hundred indigenous Orang Laut people also lived around the coast, rivers and smaller islands."
What is the MRT?,One of three heavy rail passenger transport lines in Singapore.
What is the MRT?,Mass Rapid Transit system
How is Singapore's climate characterized?,Singapore has a tropical rainforest climate with no distinctive seasons.
How is Singapore's climate characterized?,"Its climate is characterized by uniform temperature and pressure, high humidity, and abundant rainfall"
How much increase in the media's contribution to GDP is the government seeking?,The government seeks to increase its GDP contribution to 3% by 2012. 
How much increase in the media's contribution to GDP is the government seeking?,the government seeks to increase its GDP contribution to 3% by 2012. 
How many days did it take the Imperial Japanese Army to win the Battle of Singapore?,Six days
How many days did it take the Imperial Japanese Army to win the Battle of Singapore?,6 days
Is Singapore located at the southern tip of the Korean Penisula?,no
Is Singapore located at the southern tip of the Korean Penisula?,Yes.
Is Singapore a city-state?,yes
Is Singapore a city-state?,Yes.
Has Sang Nila Utama visited Singapore?,yes
Has Sang Nila Utama visited Singapore?,Yes.
"What does ""singa"" mean?",lion
When is the first record of settlement in Singapore?,second century AD
When is the first record of settlement in Singapore?,The first records of settlement in Singapore are from the second century AD.
Which nation invaded Singapore during World War II?,Japan
